Type,SourceIP,PortAllowed,DestinationIP_Allowed
manage,192.168.12.250,46178;80;8000;8080-8090,116.30.195.174;
manage,192.168.12.250,8888,116.30.195.175;
manage,192.168.98.250,*,*
manage,192.240.126.15,*,*
app,192.168.44.98,*,*
cdn,192.168.92.130,*,*
cdn,192.168.106.58,*,*
cdn,192.168.38.74,*,*
cdn,192.168.120.18,*,*
cdn,192.168.8.242,*,*
cdn,192.168.60.66,*,*
cdn,192.168.78.154,*,*
cdn,192.168.72.178,*,*
cdn,192.168.38.210,*,*
cdn,192.240.110.74,*,*
cdn,192.168.180.26,*,*
cdn,192.168.254.68,*,*
